transaction_id,date,year,month,day,product,commodity_category,hs_code,quantity,unit,unit_price,trade_value,market_price,price_deviation,exporter_company,exporter_country,export_port,importer_company,importer_country,import_port,shipping_route,distance_km,transport_mode,vessel_id,port_calls,port_activity_index,cargo_volume,shipment_duration_days,trade_frequency_30d,company_risk_score,route_anomaly,fraud_label
TXN00001,2024-06-28,2024,6,28,Wheat,Agriculture,100199,2330,tons,280.54,653658.2,300,-0.0649,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Shanghai-Singapore-Chennai,5600,Sea,IMO1295831,6,1.16,104493,21,25,0.32,0,0
TXN00002,2024-03-30,2024,3,30,Aluminum,Metal,760110,3836,tons,2651.8,10172304.8,2400,0.1049,AgriGrain,USA,Houston,DeltaFoods,Egypt,Alexandria,Perth-Yokohama,7800,Sea,IMO5940535,7,1.58,106884,16,20,0.51,0,0
TXN00003,2024-04-26,2024,4,26,Aluminum,Metal,760110,1572,tons,2348.26,3691464.72,2400,-0.0216,PetroGlobal,UAE,Dubai,EuroEnergy,Germany,Hamburg,Perth-Yokohama,7800,Sea,IMO3649426,8,1.6,98270,14,11,0.5,0,0
TXN00004,2024-03-30,2024,3,30,Steel,Metal,720712,2172,tons,589.2,1279742.4,520,0.1331,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Perth-Yokohama,7800,Sea,IMO2983101,2,1.23,126186,20,24,0.75,0,0
TXN00005,2024-04-25,2024,4,25,Steel,Metal,720712,3100,tons,521.13,1615503.0,520,0.0022,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Perth-Yokohama,7800,Sea,IMO3050971,1,0.91,23298,9,5,0.8,0,0
TXN00006,2024-03-04,2024,3,4,CrudeOil,Energy,270900,2915,tons,20.16,58766.4,75,-0.7312,AusMetal,Australia,Perth,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO2739591,3,1.75,114395,34,1,0.07,0,2
TXN00007,2024-02-03,2024,2,3,Aluminum,Metal,760110,1449,tons,2291.32,3320122.68,2400,-0.0453,HuaxinSteel,China,Shanghai,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO8010157,3,1.13,54970,19,6,0.57,0,0
TXN00008,2024-02-20,2024,2,20,Copper,Metal,740311,3733,tons,9244.59,34510054.47,8500,0.0876,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO2871946,5,0.86,106754,7,4,0.47,0,0
TXN00009,2024-05-09,2024,5,9,CrudeOil,Energy,270900,1306,tons,87.46,114222.76,75,0.1661,AusMetal,Australia,Perth,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO8045569,1,1.61,135327,16,7,0.74,0,0
TXN00010,2024-03-13,2024,3,13,Copper,Metal,740311,2259,tons,9627.32,21748115.88,8500,0.1326,AndesMining,Chile,Valparaiso,BharatMetals,India,Chennai,Shanghai-Singapore-Chennai,5600,Sea,IMO1557597,4,1.5,96969,31,27,0.83,0,0
